# station,arrival,departure,stopType,exchangeType,staffed,meets,remark
Uö,,18:07,Mandatory,EmbarkingAndDisembarking,true,78,
Fl,,,Optional,EmbarkingAndDisembarking,false,,
Ås,,,Optional,EmbarkingAndDisembarking,false,,
Sa,,,Optional,EmbarkingAndDisembarking,false,,
B,,18:25,Mandatory,EmbarkingAndDisembarking,false,,
Ga,,,Optional,EmbarkingAndDisembarking,false,,
Ml,18:35,18:50,Optional,EmbarkingAndDisembarking,true,,
Lh,,,Optional,EmbarkingAndDisembarking,false,,
Slä,,18:54,Optional,EmbarkingAndDisembarking,false,,
Löt,,,Optional,EmbarkingAndDisembarking,false,,
Lna,,19:01,Optional,EmbarkingAndDisembarking,false,,
Alg,,19:12,Mandatory,EmbarkingAndDisembarking,false,,
Mg,,,Optional,EmbarkingAndDisembarking,false,,
Frg,19:27,,Mandatory,EmbarkingAndDisembarking,true,,
