# station,arrival,departure,stopType,exchangeType,staffed,meets,remark
Uö,,,Optional,EmbarkingAndDisembarking,false,,
Fl,,,Optional,EmbarkingAndDisembarking,false,,
Ås,,,Optional,EmbarkingAndDisembarking,false,,
Sa,,,Optional,EmbarkingAndDisembarking,false,,
B,,,Optional,EmbarkingAndDisembarking,false,,
Ga,,,Optional,EmbarkingAndDisembarking,false,,
Ml,,,Optional,EmbarkingAndDisembarking,false,,
Lh,,,Optional,EmbarkingAndDisembarking,false,,
Slä,,,Optional,EmbarkingAndDisembarking,false,,
Löt,,,Optional,EmbarkingAndDisembarking,false,,
Lna,,,Optional,EmbarkingAndDisembarking,false,,
Alg,,,Optional,EmbarkingAndDisembarking,false,,
Mg,,,Optional,EmbarkingAndDisembarking,false,,
Frg,,,Optional,EmbarkingAndDisembarking,false,,
