# station,arrival,departure,stopType,exchangeType,staffed,meets,remark
Frg,,,Optional,EmbarkingAndDisembarking,false,,
Mg,,,Optional,EmbarkingAndDisembarking,false,,
Alg,,,Optional,EmbarkingAndDisembarking,false,,
Lna,,,Optional,EmbarkingAndDisembarking,false,,
Löt,,,Optional,EmbarkingAndDisembarking,false,,
Slä,,,Optional,EmbarkingAndDisembarking,false,,
Lh,,,Optional,EmbarkingAndDisembarking,false,,
Ml,,,Optional,EmbarkingAndDisembarking,false,,
Ga,,,Optional,EmbarkingAndDisembarking,false,,
B,,,Optional,EmbarkingAndDisembarking,false,,
Sa,,,Optional,EmbarkingAndDisembarking,false,,
Ås,,,Optional,EmbarkingAndDisembarking,false,,
Fl,,,Optional,EmbarkingAndDisembarking,false,,
Uö,,,Optional,EmbarkingAndDisembarking,false,,
